customer,device,date,visitors_forecast,orders_forecast,rate_forecast,v_outlier,o_outlier,r_outlier
All Visitors,All Devices,2019-04-01,672542.880689154,6262.57419435422,0.00943939198039845,0,0,0
All Visitors,All Devices,2019-04-02,665168.27328804,6062.15774352903,0.00932004698885325,0,0,0
All Visitors,All Devices,2019-04-03,671719.363899853,6427.33569194707,0.00909938487352252,0,0,0
All Visitors,All Devices,2019-04-04,682246.111112855,6121.4258002514,0.00882084292313349,0,0,0
All Visitors,All Devices,2019-04-05,702023.974091713,6983.88810158473,0.00862870261602849,0,1,0
All Visitors,All Devices,2019-04-06,637070.19937905,5562.77149786127,0.0086083798484033,0,0,0
All Visitors,All Devices,2019-04-07,622812.981712671,5112.89471583268,0.00871315746813718,1,1,0
All Visitors,Mobile Phone,2019-04-01,359510.568426429,1342.59349114951,0.00421000323938335,0,0,0
All Visitors,Mobile Phone,2019-04-02,361284.973673416,1334.8347425942,0.00425644843131031,0,0,0
All Visitors,Mobile Phone,2019-04-03,375977.670664864,1551.24003208915,0.00426732611586157,0,0,0
All Visitors,Mobile Phone,2019-04-04,382677.902608041,1467.13255245213,0.00430483239727448,0,0,0
All Visitors,Mobile Phone,2019-04-05,395681.427634696,1799.38120989002,0.00431794450305126,0,1,0
All Visitors,Mobile Phone,2019-04-06,401227.61803759,1521.80721814275,0.00436318895867539,0,0,0
All Visitors,Mobile Phone,2019-04-07,396455.575609766,1400.48883446542,0.00440863622551336,0,0,1
All Visitors,Desktop,2019-04-01,267372.835495648,4425.37902897678,0.0172979327510893,0,0,1
All Visitors,Desktop,2019-04-02,263482.682054724,4277.97605597664,0.0167917087959998,0,0,0
All Visitors,Desktop,2019-04-03,257605.977088188,4487.33110090591,0.0162856183016565,0,0,0
All Visitors,Desktop,2019-04-04,258553.322288348,4282.193267434,0.0160487949993789,0,0,0
All Visitors,Desktop,2019-04-05,265303.823446075,4829.41476020621,0.0159764502926579,0,0,0
All Visitors,Desktop,2019-04-06,193778.200442947,3463.91985619856,0.0160421961223561,0,0,0
All Visitors,Desktop,2019-04-07,183047.925803706,3233.73987449196,0.015994425930176,1,1,0
All Visitors,Tablet,2019-04-01,38135.3040516036,416.749143735897,0.0108490189427586,0,0,0
All Visitors,Tablet,2019-04-02,37541.1121007397,400.672247668633,0.0111593019568246,0,0,0
All Visitors,Tablet,2019-04-03,39270.9434864019,418.901931038262,0.0116020967409141,0,0,0
All Visitors,Tablet,2019-04-04,39107.1465459874,370.572856757179,0.0108478435044605,0,0,0
All Visitors,Tablet,2019-04-05,41140.6526851897,452.793463770471,0.0109888514200462,0,0,0
All Visitors,Tablet,2019-04-06,44134.6720411686,521.975753026332,0.0121794103065904,0,1,1
All Visitors,Tablet,2019-04-07,43793.4173492719,471.636322786044,0.0117780335209797,0,0,0
CUSTOMER,All Devices,2019-04-01,171659.463755313,4228.55858759898,0.0218779923065061,0,0,0
CUSTOMER,All Devices,2019-04-02,177777.481353217,4416.91567262069,0.0163458758829304,0,0,1
CUSTOMER,All Devices,2019-04-03,163937.732649563,3942.48632072502,0.017592801467045,0,0,0
CUSTOMER,All Devices,2019-04-04,162486.751047728,4003.36257328583,0.0191223268117697,0,0,0
CUSTOMER,All Devices,2019-04-05,188665.384919545,4245.20293305361,0.019903906126811,0,0,0
CUSTOMER,All Devices,2019-04-06,151192.49778619,3556.4816725603,0.0203527354184266,0,1,0
CUSTOMER,All Devices,2019-04-07,141102.804221805,3972.53190524444,0.0200061852053263,1,0,0
PROSPECT,All Devices,2019-04-01,37540.0786971949,188.317451223211,0.00414087318534915,0,0,0
PROSPECT,All Devices,2019-04-02,35465.868313893,192.855180035407,0.00453573332644509,0,0,0
PROSPECT,All Devices,2019-04-03,23773.3338934993,171.50820654918,0.00371579124193932,1,0,1
PROSPECT,All Devices,2019-04-04,27324.9163036504,200.26459076207,0.00462055339648293,0,0,0
PROSPECT,All Devices,2019-04-05,35434.9128566794,211.068672388394,0.00438318954982424,0,1,0
PROSPECT,All Devices,2019-04-06,34709.7183129902,187.101237861314,0.00452263819263749,0,0,0
PROSPECT,All Devices,2019-04-07,34193.195976699,174.950895406646,0.00449549269264872,0,0,0
UNDETERMINED,All Devices,2019-04-01,405682.515968399,946.878555494164,0.00294104546759202,0,0,1
UNDETERMINED,All Devices,2019-04-02,377884.741397684,932.04312521832,0.00367334463477289,0,0,0
UNDETERMINED,All Devices,2019-04-03,430462.486891353,1667.85151630467,0.00355473413765556,0,0,0
UNDETERMINED,All Devices,2019-04-04,455666.186163319,1911.96474745319,0.00311815357504571,0,0,0
UNDETERMINED,All Devices,2019-04-05,464152.186884863,3394.73879174498,0.00326951175450396,0,1,0
UNDETERMINED,All Devices,2019-04-06,380303.803349296,963.270035725224,0.00336969430814357,0,0,0
UNDETERMINED,All Devices,2019-04-07,374640.97537211,796.556563121472,0.00342851744755991,0,0,0
CUSTOMER,Mobile Phone,2019-04-01,76966.4188182491,899.072596402741,0.00974371475960214,0,0,0
CUSTOMER,Mobile Phone,2019-04-02,62991.2996908302,792.207022262359,0.0100097594404438,1,0,0
CUSTOMER,Mobile Phone,2019-04-03,83531.7519919828,768.649427649235,0.00921448617478191,0,0,1
CUSTOMER,Mobile Phone,2019-04-04,83882.8471502782,821.465839087266,0.0100278860534617,0,0,0
CUSTOMER,Mobile Phone,2019-04-05,90813.0851657165,840.450441811886,0.00961986882911594,0,0,0
CUSTOMER,Mobile Phone,2019-04-06,78612.8946097262,805.746114615777,0.00973891015635586,0,0,0
CUSTOMER,Mobile Phone,2019-04-07,83012.561196593,991.951378754133,0.0105298447168376,0,1,1
PROSPECT,Mobile Phone,2019-04-01,22763.6324922358,89.6866047733181,0.00363631561122541,0,0,0
PROSPECT,Mobile Phone,2019-04-02,21031.5575434954,89.2530343017309,0.00441977403254745,0,0,0
PROSPECT,Mobile Phone,2019-04-03,12487.031806566,78.5257369183028,0.0036531306339386,1,1,0
PROSPECT,Mobile Phone,2019-04-04,14634.7133376366,100.155907897129,0.00440812231796746,0,0,0
PROSPECT,Mobile Phone,2019-04-05,21959.4090965713,100.473768580813,0.00426391988879523,0,0,0
PROSPECT,Mobile Phone,2019-04-06,25869.3725299669,92.7097256754405,0.00439805565846635,0,0,0
PROSPECT,Mobile Phone,2019-04-07,24099.9848133482,89.2270919034059,0.00427506462432171,0,0,0
UNDETERMINED,Mobile Phone,2019-04-01,242127.147716998,328.550038958892,0.00205623952520175,0,0,0
UNDETERMINED,Mobile Phone,2019-04-02,247270.120310266,307.864067652157,0.00215458528634163,0,0,1
UNDETERMINED,Mobile Phone,2019-04-03,309444.36831551,516.261584577965,0.00208450849756483,0,0,0
UNDETERMINED,Mobile Phone,2019-04-04,305333.843352748,527.145609839379,0.00199816833020942,0,0,1
UNDETERMINED,Mobile Phone,2019-04-05,264794.881132714,917.215336826085,0.00204467939246003,0,1,0
UNDETERMINED,Mobile Phone,2019-04-06,258686.452204525,353.950691638584,0.00207681178236386,0,0,0
UNDETERMINED,Mobile Phone,2019-04-07,256501.032075648,270.002242504384,0.00209772867838655,0,0,0
CUSTOMER,Desktop,2019-04-01,92913.4153667533,2724.28941564257,0.0286547536794181,0,0,1
CUSTOMER,Desktop,2019-04-02,100108.772425866,3453.14776510268,0.0238725361624355,0,1,0
CUSTOMER,Desktop,2019-04-03,62131.1892401309,2873.31120739163,0.0222870094734165,0,0,1
CUSTOMER,Desktop,2019-04-04,67195.1715644154,2947.58285416463,0.0247605472318117,0,0,0
CUSTOMER,Desktop,2019-04-05,96360.663970291,3237.9612502054,0.0262091766048915,0,0,0
CUSTOMER,Desktop,2019-04-06,58398.700651788,2599.63147635126,0.0267880032916495,0,0,0
CUSTOMER,Desktop,2019-04-07,51660.1170567609,2593.28918253641,0.0259897141514983,0,0,0
PROSPECT,Desktop,2019-04-01,11025.7942752222,84.2227159008128,0.00419812876057414,0,0,0
PROSPECT,Desktop,2019-04-02,11388.7529475625,97.1228179926418,0.00337246362327456,0,0,1
PROSPECT,Desktop,2019-04-03,6877.3946600358,83.8946221838894,0.00513432246037969,0,0,0
PROSPECT,Desktop,2019-04-04,8185.75659976056,98.6464548423876,0.00534816707683996,0,0,0
